# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.652354018929e-10       7.657245707458e-15       2.356006376083e-13       0.000000000000e+00       8.506015964167e-11       8.869030987556e-12      -6.939721480716e-15 
   41       1.677076260891e-10       8.318116921302e-15       2.263305551556e-13       0.000000000000e+00       8.085489928676e-11       8.471400935005e-12      -6.460858246375e-15 
   42       1.702030434347e-10       9.014789975551e-15       2.156858707185e-13       0.000000000000e+00       7.692168137484e-11       8.093149434781e-12      -6.437130513187e-15 
   43       1.727245876002e-10       9.747752952264e-15       2.036219616884e-13       0.000000000000e+00       7.325011450072e-11       7.735833544330e-12      -6.725571052917e-15 
   44       1.752717863795e-10       1.051741765931e-14       1.900917402545e-13       0.000000000000e+00       6.981355287522e-11       7.400038866895e-12      -7.146639607442e-15 
   45       1.778423565079e-10       1.132416040978e-14       1.750469936819e-13       0.000000000000e+00       6.657862578151e-11       7.085517401648e-12      -7.523986547148e-15 
   46       1.804383547287e-10       1.216846848185e-14       1.584435600078e-13       0.000000000000e+00       6.354027317358e-11       6.791860712401e-12      -7.823245783822e-15 
   47       1.830612895813e-10       1.305083052680e-14       1.402372109505e-13       0.000000000000e+00       6.069498275891e-11       6.517876079565e-12      -8.050890929512e-15 
   48       1.857101261646e-10       1.397169407840e-14       1.203819701049e-13       0.000000000000e+00       5.803022212132e-11       6.261302550861e-12      -8.215969751529e-15 
   49       1.883810588293e-10       1.493146406890e-14       9.882991936825e-14       0.000000000000e+00       5.552376781282e-11       6.018734707937e-12      -8.330264252854e-15 
   50       1.910696695944e-10       1.593047494849e-14       7.553635840464e-14       0.000000000000e+00       5.315040375205e-11       5.786596392753e-12      -8.408749476253e-15 
   51       1.937786214425e-10       1.696890156533e-14       5.047738316221e-14       0.000000000000e+00       5.090571641378e-11       5.564550340642e-12      -8.470745347419e-15 
   52       1.965116603676e-10       1.804682152958e-14       2.363674424055e-14       0.000000000000e+00       4.878759886877e-11       5.352882279522e-12      -8.539354195427e-15 
   53       1.992712998567e-10       1.916423683385e-14      -4.999032167832e-15       0.000000000000e+00       4.678912956498e-11       5.151505672900e-12      -8.641359362035e-15 
   54       2.020587058514e-10       2.032107112693e-14      -3.544058594420e-14       0.000000000000e+00       4.489824821039e-11       4.959934896364e-12      -8.807399339672e-15 
   55       2.048742434624e-10       2.151721610205e-14      -6.769589878180e-14       0.000000000000e+00       4.310143805799e-11       4.777519828314e-12      -9.062257718194e-15 
   56       2.077195396978e-10       2.275269040223e-14      -1.017710061604e-13       0.000000000000e+00       4.139658649427e-11       4.604279316997e-12      -9.392509348063e-15 
   57       2.105957316616e-10       2.402751541514e-14      -1.376693600663e-13       0.000000000000e+00       3.978275158025e-11       4.440227781085e-12      -9.771141805898e-15 
   58       2.135027623845e-10       2.534166882208e-14      -1.753915622746e-13       0.000000000000e+00       3.825627119559e-11       4.285115659587e-12      -1.016652903000e-14 
   59       2.164392915676e-10       2.669508378525e-14      -2.149353151355e-13       0.000000000000e+00       3.681059501490e-11       4.138412773301e-12      -1.054222035996e-14 
   60       2.194026063270e-10       2.808764813502e-14      -2.562953723610e-13       0.000000000000e+00       3.543611648419e-11       3.999291686276e-12      -1.085672957634e-14 
   61       2.223898817551e-10       2.951912577700e-14      -2.994639208030e-13       0.000000000000e+00       3.412284185913e-11       3.866858129177e-12      -1.107300707754e-14 
   62       2.254024951670e-10       3.098890213732e-14      -3.444319372627e-13       0.000000000000e+00       3.286947751473e-11       3.740940349599e-12      -1.118981817052e-14 
   63       2.284425262545e-10       3.249617987758e-14      -3.911880502873e-13       0.000000000000e+00       3.167609350181e-11       3.621448220846e-12      -1.121706567478e-14 
   64       2.315114472123e-10       3.404004841746e-14      -4.397181012176e-13       0.000000000000e+00       3.054139001514e-11       3.508133189401e-12      -1.116682266122e-14 
   65       2.346100763116e-10       3.561948065407e-14      -4.900051086491e-13       0.000000000000e+00       2.946261938766e-11       3.400579475469e-12      -1.105342873038e-14 
   66       2.377385314722e-10       3.723332968135e-14      -5.420292328941e-13       0.000000000000e+00       2.843550808469e-11       3.298195273523e-12      -1.089358629074e-14 
   67       2.408961838360e-10       3.888032550938e-14      -5.957677404426e-13       0.000000000000e+00       2.745417869808e-11       3.200203952850e-12      -1.070645683692e-14 
   68       2.440822653012e-10       4.055920643833e-14      -6.511965638726e-13       0.000000000000e+00       2.651272032875e-11       3.105843304420e-12      -1.051008024204e-14 
   69       2.472979378531e-10       4.226915142483e-14      -7.082954280561e-13       0.000000000000e+00       2.561044360182e-11       3.015029832485e-12      -1.030957490506e-14 
   70       2.505445620568e-10       4.400942983348e-14      -7.670437035872e-13       0.000000000000e+00       2.474755521525e-11       2.927813876679e-12      -1.010670861546e-14 
   71       2.538230510267e-10       4.577927469410e-14      -8.274189084085e-13       0.000000000000e+00       2.392356856012e-11       2.844180059089e-12      -9.903366185666e-15 
   72       2.571338407239e-10       4.757788286503e-14      -8.893967130770e-13       0.000000000000e+00       2.313726787311e-11       2.764043805684e-12      -9.701551688740e-15 
   73       2.604768602554e-10       4.940441519629e-14      -9.529509460299e-13       0.000000000000e+00       2.238667238893e-11       2.687247867732e-12      -9.503390696051e-15 
   74       2.638515021717e-10       5.125799669279e-14      -1.018053598850e-12       0.000000000000e+00       2.166900049279e-11       2.613558843229e-12      -9.311132514982e-15 
   75       2.672565927652e-10       5.313771667759e-14      -1.084674831534e-12       0.000000000000e+00       2.098063387287e-11       2.542663698321e-12      -9.127152426630e-15 
   76       2.706909773085e-10       5.504256534997e-14      -1.152782578425e-12       0.000000000000e+00       2.031801599637e-11       2.474252225066e-12      -8.953640887113e-15 
   77       2.741554646325e-10       5.697122974285e-14      -1.222341271440e-12       0.000000000000e+00       1.968061593238e-11       2.408289463739e-12      -8.791600753717e-15 
   78       2.776511848366e-10       5.892226068091e-14      -1.293312892500e-12       0.000000000000e+00       1.906844237971e-11       2.344786868978e-12      -8.641670413973e-15 
   79       2.811789889924e-10       6.089413196218e-14      -1.365657349332e-12       0.000000000000e+00       1.848114087177e-11       2.283719091920e-12      -8.504416486023e-15 
   80       2.847394320510e-10       6.288523921695e-14      -1.439332472546e-12       0.000000000000e+00       1.791797708807e-11       2.225022263821e-12      -8.380329637249e-15 
   81       2.883327557516e-10       6.489389876677e-14      -1.514294012710e-12       0.000000000000e+00       1.737782016583e-11       2.168592279670e-12      -8.269820402907e-15 
   82       2.919588715298e-10       6.691834648332e-14      -1.590495637428e-12       0.000000000000e+00       1.685912601140e-11       2.114283081811e-12      -8.173215004755e-15 
   83       2.956173434249e-10       6.895673664740e-14      -1.667888928419e-12       0.000000000000e+00       1.635992061186e-11       2.061904943556e-12      -8.090751169687e-15 
   84       2.993076726421e-10       7.100721109447e-14      -1.746423902355e-12       0.000000000000e+00       1.587827992334e-11       2.011271874751e-12      -8.022304451983e-15 
   85       3.030302428780e-10       7.306812232134e-14      -1.826050678990e-12       0.000000000000e+00       1.541389749911e-11       1.962356627785e-12      -7.966524230168e-15 
   86       3.067855011009e-10       7.513784544578e-14      -1.906718085498e-12       0.000000000000e+00       1.496674735182e-11       1.915158360868e-12      -7.921546144441e-15 
   87       3.105736579869e-10       7.721471124797e-14      -1.988373163094e-12       0.000000000000e+00       1.453660226328e-11       1.869654923147e-12      -7.885240275634e-15 
   88       3.143946758978e-10       7.929700621074e-14      -2.070961172911e-12       0.000000000000e+00       1.412302544179e-11       1.825801963897e-12      -7.855202434498e-15 
   89       3.182482568586e-10       8.138297255985e-14      -2.154425601883e-12       0.000000000000e+00       1.372536217954e-11       1.783532041724e-12      -7.828745450977e-15 
   90       3.221338305358e-10       8.347080830414e-14      -2.238708168621e-12       0.000000000000e+00       1.334273150989e-11       1.742753733761e-12      -7.802890463493e-15 
   91       3.260505422150e-10       8.555866727581e-14      -2.323748829298e-12       0.000000000000e+00       1.297401786478e-11       1.703350744859e-12      -7.774358208221e-15 
   92       3.299972407792e-10       8.764465917063e-14      -2.409485783522e-12       0.000000000000e+00       1.261786273206e-11       1.665181016791e-12      -7.739560308372e-15 
   93       3.339728292799e-10       8.972687751490e-14      -2.495856344909e-12       0.000000000000e+00       1.227298704736e-11       1.628111426338e-12      -7.695425197618e-15 
   94       3.379774030776e-10       9.180348829051e-14      -2.582799689769e-12       0.000000000000e+00       1.193923195536e-11       1.592129783993e-12      -7.642036904781e-15 
   95       3.420112614466e-10       9.387265477551e-14      -2.670254534615e-12       0.000000000000e+00       1.161665988275e-11       1.557248111241e-12      -7.580378883978e-15 
   96       3.460745532834e-10       9.593251122290e-14      -2.758158325825e-12       0.000000000000e+00       1.130523399910e-11       1.523468155669e-12      -7.511537452029e-15 
   97       3.501672700617e-10       9.798116328420e-14      -2.846447257389e-12       0.000000000000e+00       1.100481441419e-11       1.490780988682e-12      -7.436704534633e-15 
   98       3.542892387874e-10       1.000166884331e-13      -2.935056288664e-12       0.000000000000e+00       1.071515437530e-11       1.459166603224e-12      -7.357180412530e-15 
   99       3.584401149540e-10       1.020371363888e-13      -3.023919162117e-12       0.000000000000e+00       1.043589646449e-11       1.428593511498e-12      -7.274376467663e-15 
  100       3.626193754977e-10       1.040405295399e-13      -3.112968421077e-12       0.000000000000e+00       1.016656879589e-11       1.399018342687e-12      -7.189817929352e-15 
  101       3.668263117526e-10       1.060248633679e-13      -3.202135427487e-12       0.000000000000e+00       9.906581213002e-12       1.370385440669e-12      -7.105146620452e-15 
  102       3.710600224057e-10       1.079881068704e-13      -3.291350379648e-12       0.000000000000e+00       9.655221485981e-12       1.342626461742e-12      -7.022123703523e-15 
  103       3.753194064522e-10       1.099282029851e-13      -3.380542329972e-12       0.000000000000e+00       9.411651508937e-12       1.315659972341e-12      -6.942632426995e-15 
  104       3.796033956354e-10       1.118431200714e-13      -3.469639764281e-12       0.000000000000e+00       9.175097318469e-12       1.289410570792e-12      -6.868274061738e-15 
  105       3.839117026981e-10       1.137310133625e-13      -3.558572390593e-12       0.000000000000e+00       8.945456573368e-12       1.263870060827e-12      -6.799087632336e-15 
  106       3.882441615461e-10       1.155900862142e-13      -3.647269626190e-12       0.000000000000e+00       8.722766429250e-12       1.239043830221e-12      -6.734661554697e-15 
  107       3.926004924298e-10       1.174185419674e-13      -3.735660081275e-12       0.000000000000e+00       8.507015392676e-12       1.214931879231e-12      -6.674523298377e-15 
  108       3.969802975306e-10       1.192145849327e-13      -3.823671582897e-12       0.000000000000e+00       8.298141648344e-12       1.191528632860e-12      -6.618137662309e-15 
  109       4.013830565486e-10       1.209764213746e-13      -3.911231198867e-12       0.000000000000e+00       8.096031386283e-12       1.168822753126e-12      -6.564905050537e-15 
  110       4.058081222886e-10       1.227022604970e-13      -3.998265261683e-12       0.000000000000e+00       7.900517129049e-12       1.146796951338e-12      -6.514159747946e-15 
  111       4.102547162477e-10       1.243903154270e-13      -4.084699392442e-12       0.000000000000e+00       7.711376058921e-12       1.125427800359e-12      -6.465168195992e-15 
  112       4.147219242016e-10       1.260388042000e-13      -4.170458524771e-12       0.000000000000e+00       7.528328345098e-12       1.104685546877e-12      -6.417127268430e-15 
  113       4.192086917919e-10       1.276459507444e-13      -4.255466928738e-12       0.000000000000e+00       7.351035470886e-12       1.084533923677e-12      -6.369162547052e-15 
  114       4.237138201124e-10       1.292099858659e-13      -4.339648234777e-12       0.000000000000e+00       7.179098560905e-12       1.064929961908e-12      -6.320326597409e-15 
  115       4.282359612968e-10       1.307291482326e-13      -4.422925457607e-12       0.000000000000e+00       7.012056708273e-12       1.045823803353e-12      -6.269597244550e-15 
  116       4.327738080065e-10       1.322017333705e-13      -4.505221953257e-12       0.000000000000e+00       6.849488034296e-12       1.027169645124e-12      -6.216095309632e-15 
  117       4.373266974688e-10       1.336262453043e-13      -4.586464371006e-12       0.000000000000e+00       6.691330383114e-12       1.008960484706e-12      -6.159771538784e-15 
  118       4.418940729330e-10       1.350012652882e-13      -4.666580106930e-12       0.000000000000e+00       6.537596657686e-12       9.911972663880e-13      -6.100800342679e-15 
  119       4.464752936709e-10       1.363254068385e-13      -4.745496434735e-12       0.000000000000e+00       6.388274819915e-12       9.738780384927e-13      -6.039368022388e-15 
  120       4.510696322778e-10       1.375973171419e-13      -4.823140537927e-12       0.000000000000e+00       6.243327126179e-12       9.569978640774e-13      -5.975672985528e-15 
  121       4.556762719740e-10       1.388156784657e-13      -4.899439541978e-12       0.000000000000e+00       6.102689362854e-12       9.405487316324e-13      -5.909925962402e-15 
  122       4.602943039060e-10       1.399792095660e-13      -4.974320546505e-12       0.000000000000e+00       5.966270081847e-12       9.245194657808e-13      -5.842350222150e-15 
  123       4.649227244476e-10       1.410866670977e-13      -5.047710657433e-12       0.000000000000e+00       5.833949836124e-12       9.088956379775e-13      -5.773181788891e-15 
  124       4.695604325018e-10       1.421368470228e-13      -5.119537019167e-12       0.000000000000e+00       5.705580415234e-12       8.936594772091e-13      -5.702669657869e-15 
  125       4.742062268011e-10       1.431285860204e-13      -5.189726846767e-12       0.000000000000e+00       5.580984080842e-12       8.787897806932e-13      -5.631076011598e-15 
  126       4.788588032100e-10       1.440607628953e-13      -5.258207458112e-12       0.000000000000e+00       5.459952802256e-12       8.642618245777e-13      -5.558676436008e-15 
  127       4.835167520251e-10       1.449322999870e-13      -5.324906306074e-12       0.000000000000e+00       5.342247491956e-12       8.500472746405e-13      -5.485760136589e-15 
  128       4.881785552773e-10       1.457421645795e-13      -5.389751010690e-12       0.000000000000e+00       5.227597241120e-12       8.361140969885e-13      -5.412630154538e-15 
  129       4.928427403115e-10       1.464894107083e-13      -5.452670118400e-12       0.000000000000e+00       5.115757549011e-12       8.224340676697e-13      -5.339559993046e-15 
  130       4.975083653087e-10       1.471733067743e-13      -5.513595405607e-12       0.000000000000e+00       5.006693857150e-12       8.090064226107e-13      -5.266657657374e-15 
  131       5.021745821743e-10       1.477932246580e-13      -5.572459889797e-12       0.000000000000e+00       4.900416798095e-12       7.958366454235e-13      -5.193987038848e-15 
  132       5.068404834685e-10       1.483486022569e-13      -5.629197162119e-12       0.000000000000e+00       4.796924667417e-12       7.829290664747e-13      -5.121610072922e-15 
  133       5.115051008264e-10       1.488389451841e-13      -5.683741424765e-12       0.000000000000e+00       4.696203081361e-12       7.702868279596e-13      -5.049586643409e-15 
  134       5.161674033770e-10       1.492638284666e-13      -5.736027528337e-12       0.000000000000e+00       4.598224634517e-12       7.579118489766e-13      -4.977974486711e-15 
  135       5.208262961633e-10       1.496228982434e-13      -5.785991009224e-12       0.000000000000e+00       4.502948557485e-12       7.458047906020e-13      -4.906829096056e-15 
  136       5.254806185613e-10       1.499158734635e-13      -5.833568126975e-12       0.000000000000e+00       4.410320374542e-12       7.339650209643e-13      -4.836203625725e-15 
  137       5.301291427001e-10       1.501425475848e-13      -5.878695901671e-12       0.000000000000e+00       4.320271561309e-12       7.223905803186e-13      -4.766148795290e-15 
  138       5.347705718811e-10       1.503027902713e-13      -5.921312151296e-12       0.000000000000e+00       4.232719202419e-12       7.110781461211e-13      -4.696712793839e-15 
  139       5.394035389978e-10       1.503965490925e-13      -5.961355529116e-12       0.000000000000e+00       4.147565649182e-12       7.000229981036e-13      -4.627941184215e-15 
  140       5.440266049552e-10       1.504238512207e-13      -5.998765561047e-12       0.000000000000e+00       4.064698177253e-12       6.892189833482e-13      -4.559876807243e-15 
  141       5.486382570893e-10       1.503848051296e-13      -6.033482683029e-12       0.000000000000e+00       3.983988644297e-12       6.786584813613e-13      -4.492559685966e-15 
