# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345350243443e-02       2.461384528000e+04 
       1.358216790942e-02       2.465841528989e+04 
       1.371086966378e-02       2.470068676119e+04 
       1.383960780651e-02       2.474083013471e+04 
       1.396838246965e-02       2.477888338879e+04 
       1.409719380798e-02       2.481489679534e+04 
       1.422604199863e-02       2.484885230409e+04 
       1.435492724081e-02       2.488073466553e+04 
       1.448384975550e-02       2.491060262270e+04 
       1.461280978525e-02       2.493852722651e+04 
       1.474180759393e-02       2.496448795546e+04 
       1.487084346658e-02       2.498853146717e+04 
       1.499991770923e-02       2.501061255497e+04 
       1.512903064877e-02       2.503083880808e+04 
       1.525818263288e-02       2.504919353053e+04 
       1.538737402988e-02       2.506575405272e+04 
       1.551660522876e-02       2.508042353940e+04 
       1.564587663906e-02       2.509339372792e+04 
       1.577518869091e-02       2.510453329425e+04 
       1.590454183503e-02       2.511401429274e+04 
       1.603393654274e-02       2.512171480851e+04 
       1.616337330602e-02       2.512772158963e+04 
       1.629285263760e-02       2.513208506669e+04 
       1.642237507098e-02       2.513473826456e+04 
       1.655194116062e-02       2.513578175475e+04 
       1.668155148201e-02       2.513528952597e+04 
       1.681120663181e-02       2.513314310024e+04 
       1.694090722804e-02       2.512955810500e+04 
       1.707065391023e-02       2.512426844644e+04 
       1.720044733963e-02       2.511752131530e+04 
       1.733028819941e-02       2.510924704999e+04 
       1.746017719491e-02       2.509955657742e+04 
       1.759011505383e-02       2.508840018664e+04 
       1.772010252655e-02       2.507577465897e+04 
       1.785014038639e-02       2.506180280067e+04 
       1.798022942990e-02       2.504555900563e+04 
       1.811037047715e-02       2.502956714616e+04 
       1.824056437210e-02       2.501068249595e+04 
       1.837081198290e-02       2.499122303834e+04 
       1.850111420230e-02       2.497047606326e+04 
       1.863147194798e-02       2.494920183188e+04 
       1.876188616297e-02       2.492579956143e+04 
       1.889235781607e-02       2.490060479897e+04 
       1.902288790223e-02       2.487531172991e+04 
       1.915347744309e-02       2.484766124917e+04 
       1.928412748733e-02       2.481921468762e+04 
       1.941483911126e-02       2.478962458648e+04 
       1.954561341922e-02       2.476027590601e+04 
       1.967645154420e-02       2.472848221696e+04 
       1.980735464830e-02       2.469556785274e+04 
       1.993832392331e-02       2.466111509454e+04 
       2.006936059132e-02       2.462615442053e+04 
       2.020046590525e-02       2.458985221692e+04 
       2.033164114955e-02       2.455368459513e+04 
