# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653318430596e-10       7.721637268654e-15       2.354086582902e-13       6.484862065599e-17       8.506015964167e-11       8.869030987556e-12      -6.939721480716e-15 
   41       1.678081271017e-10       8.385706191542e-15       2.261244140197e-13       6.813703220583e-17       8.085489928676e-11       8.471400935005e-12      -6.460858246375e-15 
   42       1.703076491010e-10       9.085647433187e-15       2.154651842503e-13       7.150828665507e-17       7.692168137484e-11       8.093149434781e-12      -6.437130513187e-15 
   43       1.728333397033e-10       9.821948053207e-15       2.033863965372e-13       7.496242666577e-17       7.325011450072e-11       7.735833544330e-12      -6.725571052917e-15 
   44       1.753847235785e-10       1.059501877888e-14       1.898410196283e-13       7.849948751592e-17       6.981355287522e-11       7.400038866895e-12      -7.146639607442e-15 
   45       1.779595144448e-10       1.140523476616e-14       1.747809035338e-13       8.211949332777e-17       6.657862578151e-11       7.085517401648e-12      -7.523986547148e-15 
   46       1.805597668420e-10       1.225308200042e-14       1.581619539293e-13       8.582244475361e-17       6.354027317358e-11       6.791860712401e-12      -7.823245783822e-15 
   47       1.831869874145e-10       1.313904774404e-14       1.399400163993e-13       8.960832735902e-17       6.069498275891e-11       6.517876079565e-12      -8.050890929512e-15 
   48       1.858401394851e-10       1.406357805963e-14       1.200691952783e-13       9.347711458213e-17       5.803022212132e-11       6.261302550861e-12      -8.215969751529e-15 
   49       1.885154157542e-10       1.502707632386e-14       9.850166030123e-14       9.742876737815e-17       5.552376781282e-11       6.018734707937e-12      -8.330264252854e-15 
   50       1.912083967840e-10       1.602987532712e-14       7.519280474292e-14       1.014632338526e-16       5.315040375205e-11       5.786596392753e-12      -8.408749476253e-15 
   51       1.939217445057e-10       1.707214809251e-14       5.011881901154e-14       1.055804488682e-16       5.090571641378e-11       5.564550340642e-12      -8.470745347419e-15 
   52       1.966592041233e-10       1.815397028070e-14       2.326355299198e-14       1.097803337168e-16       4.878759886877e-11       5.352882279522e-12      -8.539354195427e-15 
   53       1.994232885473e-10       1.927534182392e-14      -5.386361430312e-15       1.140627957742e-16       4.678912956498e-11       5.151505672900e-12      -8.641359362035e-15 
   54       2.022151633654e-10       2.043618419674e-14      -3.584145188404e-14       1.184277281437e-16       4.489824821039e-11       4.959934896364e-12      -8.807399339672e-15 
   55       2.050351933252e-10       2.163638682180e-14      -6.810958364905e-14       1.228750176911e-16       4.310143805799e-11       4.777519828314e-12      -9.062257718194e-15 
